Title	Translated/Adapted by	Based on	Type	Publisher	Year	Edition	Name of the edition	Volume of the edition	Number of pages	Source of information
Robinson Crusoe, jeho osudy, zážitky a dobrodružství.	Max Regal		not specified	Prague: Jan Kobes, 1937	1937				138	card catalogue of the National library of Prague, and Hardin Craig
Život a podivuhodná dobrodružství Robinsona Krusoe, jak je sám vypravuje.	A. M. Lounský and Jaroslav Svákovský, revised by J. Bošek		translation	Prague: Alois Hynek, 1938	1938	[3rd revised]			375	card catalogue of the National library of Prague, and Hardin Craig
Robinson Crusoe, jeho osudy, dobrodružství a nebezpečí.	not specified		not specified	Prague: Karel Hloušek, 1939 [correctly 1938]	1938	[2nd]			175	card catalogue of the National library of Prague, and Hardin Craig²
Robinson Crusoe, jeho osudy, dobrodružství a nebezpečí.	not specified		not specified	Prague: Karel Hloušek, 1940	1940	[3rd]			160	card catalogue of the National library of Prague, and Hardin Craig²
Robinson Crusoe.	Jan Horník		not specified	Prague: Týdeník Rodokaps, 1940	1940		Rodokaps - Romány do kapsy	45	49	card catalogue of the National library of Prague²
Robinson Crusoe: Dobrodružství na pustém ostrově.	Václav Leopold Moser, revised by Karel Vlasák	German adaptation by Gustav Adolf Gräbner	German adaptation	Prague: Josef Hokr, 1940	1940	[1st]			249	card catalogues of both of the libraries, and Hardin Craig
Podivná dobrodružství Robinsona Crusoe.	Albert Vyskočil		translation	Prague: Melantrich, 1941	1941	[2nd]	Pramen četby	12	95	card catalogues of both of the libraries, and Hardin Craig
Příběhy Robinsona Crusoe.	Albert Vyskočil		translation	Prague: Orbis, 1941	1941	[1st] 			196	card catalogues of both of the libraries, and Hardin Craig
Příběhy Robinsona Crusoe.	Albert Vyskočil		translation	Prague: Orbis, 1942 	1942	2nd			196	card catalogue of the National library of Prague, and Hardin Craig
Robinson Crusoe.	Bohumil Tožička and Oleg Vojtíšek		not specified	Prague: Školní nakladatelství pro Čechy a Moravu, 1942	1942		Sad, Knihovna pro mládež	79	112	card catalogue of the National library of Prague
Život a podivuhodná dobrodružství Robinsona Krusoe, jak je sám vypravuje.	A. M. Lounský and Jaroslav Svákovský, revised by J. Bošek		translation	Prague: Alois Hynek, 1943	1943	5th			368	card catalogues of both of the libraries
Příběhy Robinsona Crusoe.	Albert Vyskočil		translation	Prague: Orbis, 1946	1946	3rd			196	card catalogue of the National library of Prague, and Hardin Craig
Robinson Crusoe.	Quido Palička		not specified	Prague: František Novák, 1946	1946				267	card catalogues of both of the libraries, and Hardin Craig²
Robinson Crusoe: Dobrodružství na pustém ostrově.	Karel Vlasák		not specified	Prague: Josef Hokr, 1948	1948	2nd			224	card catalogue of the National library of Prague, and Hardin Craig
Příběhy Robinsona Crusoe.	Albert Vyskočil		translation	Prague: Orbis, 1948	1948	4th			196	card catalogues of both of the libraries, and Hardin Craig
Život a podivuhodná dobrodružství mořeplavce Robinsona Krusoe.	Václav Karoch	Russian adaptation by Korněj Čukovskij	Russian adaptation	Prague: Státní nakladatelství dětské knihy (SNDK), 1953	1953	1st	Knižnice pro národní školy		201	card catalogue of the Moravian library of Brno, and Hardin Craig
Robinson Krusoe: Výpravná hra pro mládež o 10 obrazech.	František Kovářík		adaptation	Prague: Československá divadelní a literární jednota (Dilia), 1956	1956				54	card catalogue of the Moravian library of Brno, and Hardin Craig
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: SNDK, 1956	1956	1st [in SNDK]			229	card catalogues of both of the libraries, and Hardin Craig
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: Státní pedagogické nakladatelství (SPN), 1958	1958	1st [in SPN]	Mimočítanková četba		262	card catalogue of the Moravian library of Brno, and Hardin Craig
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: SNDK, 1958	1958	2nd in SNDK	Knihy odvahy a dobrodružství	29	271	card catalogues of both of the libraries, and Hardin Craig
Život a zvláštní podivná dobrodružství Robinsona Crusoe, námořníka z Yorku.	Albert Vyskočil		translation	Prague: Mladá Fronta, 1959	1959	3rd unabridged (1st in MF)	Vpřed	117	290	card catalogue of the Moravian library of Brno, and Hardin Craig
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: SNDK, 1960	1960	3rd [in SNDK]	Knihy odvahy a dobrodružství	29	251	card catalogue of the Moravian library of Brno, and Hardin Craig
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: SPN, 1961	1961	2nd unabridged [in SPN]	Mimočítanková četba		262	card catalogue of the Moravian library of Brno
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: SNDK, 1963	1963	4th [in SNDK]	Knihy odvahy a dobrodružství	29	251	card catalogue of the Moravian library of Brno
Život a zvláštní podivná dobrodružství Robinsona Crusoe, námořníka z Yorku.	Albert Vyskočil		translation	Prague: Mladá Fronta, 1964	1964	4th unabridged (2nd in MF)	Vpřed	117	296	card catalogue of the Moravian library of Brno
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: SNDK, 1967	1967	5th [in SNDK]	Klub mladých čtenářů		216	card catalogue of the Moravian library of Brno
Života a zvláštní podivná dobrodružství Robinsona Crusoe, námořníka z Yorku.	Albert Vyskočil		translation	Prague: Mladá Fronta, 1968	1968	5th (3rd in MF)			277	card catalogue of the Moravian library of Brno
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: Albatros, 1970	1970	6th [in SNDK/Albatros (renamed in 1969)]	Knihy Josefa V. Plevy pro děti a mládež	3	216	card catalogue of the Moravian library of Brno²
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: Albatros, 1973	1973	7th [in SNDK/Albatros]	Klub mladých čtenářů		250	card catalogue of the Moravian library of Brno
Robinson Crusoe: Život a zvláštní podivná dobrodružství Robinsona Crusoea, námořníka z Yorku.	Albert Vyskočil and Timotheus Vodička		translation	Prague: Odeon, 1975	1975	1st in Odeon	Klub čtenářů	384	508	card catalogue of the Moravian library of Brno
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: Albatros, 1977	1977	8th [in SNDK/Albatros]	Klub mladých čtenářů		250	card catalogue of the Moravian library of Brno
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: Albatros, 1983	1983	9th in Albatros	Klub mladých čtenářů		251	card catalogue of the Moravian library of Brno
Robinson Crusoe.	Albert Vyskočil and Timotheus Vodička		translation	Prague: Odeon, 1986	1986	2nd in Odeon			518	card catalogue of the Moravian library of Brno
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: Olympia, 1986	1986	1st in Olympia			251	card catalogue of the Moravian library of Brno
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: Olympia, 1990	1990	2nd in Olympia			251	card catalogue of the Moravian library of Brno
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: Nakladatelství Josefa Šimona (NJŠ), 1995, reprint 2002	1995	[1st in NJŠ]	Český klub		293	card catalogue of the National library of Prague
Překvapivá dobrodružství Robinsona Crusoe.	Michal Boleslav Měchura		adaptation	Brno: Ryšavý, 1995	1995		Anglická čítanka	1	64	card catalogue of the Moravian library of Brno²
Robinson Crusoe.	Josef Věromír Pleva		adaptation	Prague: NJŠ, 1998	1998	[2nd in NJŠ]	Český klub		293	card catalogue of the Moravian library of Brno
Robinson Crusoe.	Vratislav Šťovíček		adaptation	Prague: Aventinum, 1999	1999	1st	Světové pohádky, bajky a legendy		76	card catalogue of the National library of Prague
Robinson Crusoe.	Vratislav Šťovíček		adaptation	Prague: Aventinum, 2000	2000	2nd	Světové pohádky, bajky a legendy		76	card catalogue of the National library of Prague
Robinson Crusoe: Klasický příběh obohacený o zajímavá fakta a fotografie.	Ivana Nuhličková		adaptation	Bratislava: Perfekt, 2003	2003	1st	Klasické příběhy		64	scanned version on CD from Mr Rambousek²
Robinson Crusoe.	not specified		adaptation	Plzeň: Nava, 2005	2005		Nejmilejší kniha mého dětství: edice Deníků Bohemia a Deníků Moravia	9	128	electronic catalogue of the National library of Prague
Robinson Crusoe.	František Novotný		adaptation	Prague: Albatros, 2005	2005	1st			204	web pages of Albatros
